gvkey,fyear,fyend,date,comnam,sic,ret,vwretd,sprtrn
001161,2015,12,30sep2015,ADVANCED MICRO DEVICES INC,3674,-.0497237108647823,-.03376905,-.02644282
001161,2015,12,30oct2015,ADVANCED MICRO DEVICES INC,3674,.2325580567121506,.07402217,.08298308
001161,2015,12,30nov2015,ADVANCED MICRO DEVICES INC,3674,.1132075563073158,.002448751,.000504963
001161,2015,12,31dec2015,ADVANCED MICRO DEVICES INC,3674,.2161017060279846,-.02228775,-.0175302
001161,2016,12,29jan2016,ADVANCED MICRO DEVICES INC,3674,-.2334494292736053,-.05709377,-.05073534
001161,2016,12,29feb2016,ADVANCED MICRO DEVICES INC,3674,-.0272727012634277,.0006867422,-.004128355
001161,2016,12,31mar2016,ADVANCED MICRO DEVICES INC,3674,.3317756056785583,.07051735,.06599111
001161,2016,12,29apr2016,ADVANCED MICRO DEVICES INC,3674,.2456140667200089,.01181701,.00269937
001161,2016,12,31may2016,ADVANCED MICRO DEVICES INC,3674,.2873240113258362,.01431573,.01532949
001161,2016,12,30jun2016,ADVANCED MICRO DEVICES INC,3674,.1247264072299004,.003110331,.0009060735
001161,2016,12,29jul2016,ADVANCED MICRO DEVICES INC,3674,.3346303999423981,.03877529,.03560981
001161,2016,12,31aug2016,ADVANCED MICRO DEVICES INC,3674,.0787171944975853,.002788718,-.001219176
001161,2016,12,30sep2016,ADVANCED MICRO DEVICES INC,3674,-.0662162452936172,.003016973,-.001234483
001161,2016,12,31oct2016,ADVANCED MICRO DEVICES INC,3674,.0463097207248211,-.0215942,-.01942562
001161,2016,12,30nov2016,ADVANCED MICRO DEVICES INC,3674,.2323651164770126,.04049072,.03417445
001161,2016,12,30dec2016,ADVANCED MICRO DEVICES INC,3674,.2727273106575012,.01879204,.01820075
001161,2017,12,31jan2017,ADVANCED MICRO DEVICES INC,3674,-.0855379402637482,.02219005,.01788434
001161,2017,12,28feb2017,ADVANCED MICRO DEVICES INC,3674,.3944069743156433,.03266432,.03719826
001161,2017,12,31mar2017,ADVANCED MICRO DEVICES INC,3674,.0062240767292678,.002092126,-.0003892302
001161,2017,12,28apr2017,ADVANCED MICRO DEVICES INC,3674,-.0859106481075287,.009614883,.009091217
001161,2017,12,31may2017,ADVANCED MICRO DEVICES INC,3674,-.1586466580629349,.009335273,.01157621
001161,2017,12,30jun2017,ADVANCED MICRO DEVICES INC,3674,.1152814999222755,.009469612,.004813832
001161,2017,12,31jul2017,ADVANCED MICRO DEVICES INC,3674,.0905448868870735,.02032932,.01934877
001161,2017,12,31aug2017,ADVANCED MICRO DEVICES INC,3674,-.044819962233305,.001589232,.0005464923
001161,2017,12,29sep2017,ADVANCED MICRO DEVICES INC,3674,-.0192307699471712,.0237333,.0193029
001161,2017,12,31oct2017,ADVANCED MICRO DEVICES INC,3674,-.1384314000606537,.01928174,.02218818
001161,2017,12,30nov2017,ADVANCED MICRO DEVICES INC,3674,-.0086480947211385,.02730906,.0280826
001161,2017,12,29dec2017,ADVANCED MICRO DEVICES INC,3674,-.056014746427536,.01217342,.009831619
001161,2018,12,31jan2018,ADVANCED MICRO DEVICES INC,3674,.3365758955478668,.05065686,.05617873
001161,2018,12,28feb2018,ADVANCED MICRO DEVICES INC,3674,-.1186317428946495,-.03946393,-.03894738
001161,2018,12,29mar2018,ADVANCED MICRO DEVICES INC,3674,-.1701073050498962,-.01843439,-.02688451
001161,2018,12,30apr2018,ADVANCED MICRO DEVICES INC,3674,.0825870558619499,.004768502,.002718801
001161,2018,12,31may2018,ADVANCED MICRO DEVICES INC,3674,.2619484663009644,.02616928,.02160835
001161,2018,12,29jun2018,ADVANCED MICRO DEVICES INC,3674,.0917698666453362,.005334684,.0048424
001161,2018,12,31jul2018,ADVANCED MICRO DEVICES INC,3674,.2228152304887772,.03160318,.03602159
001161,2018,12,31aug2018,ADVANCED MICRO DEVICES INC,3674,.3731587529182434,.030221,.03026322
001161,2018,12,28sep2018,ADVANCED MICRO DEVICES INC,3674,.227254644036293,.0004459018,.004294301
001161,2018,12,31oct2018,ADVANCED MICRO DEVICES INC,3674,-.4104888439178467,-.07403179,-.06940336
001161,2018,12,30nov2018,ADVANCED MICRO DEVICES INC,3674,.1696870028972626,.01853506,.01785938
001161,2018,12,31dec2018,ADVANCED MICRO DEVICES INC,3674,-.1333333402872086,-.08980669,-.09177695
001327,2013,9,31oct2012,SKYWORKS SOLUTIONS INC,3674,-.0072156232781708,-.01410401,-.0197894
001327,2013,9,30nov2012,SKYWORKS SOLUTIONS INC,3674,-.0316374413669109,.006192178,.002846703
001327,2013,9,31dec2012,SKYWORKS SOLUTIONS INC,3674,-.1037527769804001,.01252873,.00706831
001327,2013,9,31jan2013,SKYWORKS SOLUTIONS INC,3674,.1793104112148285,.05414457,.05042806
001327,2013,9,28feb2013,SKYWORKS SOLUTIONS INC,3674,-.1102757379412651,.008340364,.0110606
001327,2013,9,28mar2013,SKYWORKS SOLUTIONS INC,3674,.0340375788509846,.03529375,.0359878
001327,2013,9,30apr2013,SKYWORKS SOLUTIONS INC,3674,.002043136395514,.01494684,.01808576
001327,2013,9,31may2013,SKYWORKS SOLUTIONS INC,3674,.08110561221838,.01907392,.02076278
001327,2013,9,28jun2013,SKYWORKS SOLUTIONS INC,3674,-.0825650095939636,-.01503552,-.01499933
001327,2013,9,31jul2013,SKYWORKS SOLUTIONS INC,3674,.0979899764060974,.05271696,.04946211
001327,2013,9,30aug2013,SKYWORKS SOLUTIONS INC,3674,.0551279708743095,-.02572692,-.03129801
001327,2013,9,30sep2013,SKYWORKS SOLUTIONS INC,3674,-.0205047503113747,.03747036,.02974948
001327,2014,9,31oct2013,SKYWORKS SOLUTIONS INC,3674,.0386473052203655,.03989509,.04459576
001327,2014,9,29nov2013,SKYWORKS SOLUTIONS INC,3674,.0306201912462711,.02496603,.02804946
001327,2014,9,31dec2013,SKYWORKS SOLUTIONS INC,3674,.0740879774093628,.02613987,.02356283
001327,2014,9,31jan2014,SKYWORKS SOLUTIONS INC,3674,.0591736882925034,-.0299865,-.0355829
001327,2014,9,28feb2014,SKYWORKS SOLUTIONS INC,3674,.1722313761711121,.04618626,.04311704
001327,2014,9,31mar2014,SKYWORKS SOLUTIONS INC,3674,.0580936670303345,.004501169,.006932158
001327,2014,9,30apr2014,SKYWORKS SOLUTIONS INC,3674,.0940831229090691,.001670388,.006200797
001327,2014,9,30may2014,SKYWORKS SOLUTIONS INC,3674,.0577345229685307,.0202225,.02103028
001327,2014,9,30jun2014,SKYWORKS SOLUTIONS INC,3674,.084276095032692,.02796136,.01905831
001327,2014,9,31jul2014,SKYWORKS SOLUTIONS INC,3674,.0809199139475822,-.02053673,-.01507986
001327,2014,9,29aug2014,SKYWORKS SOLUTIONS INC,3674,.1184003502130508,.04020714,.03765532
001327,2014,9,30sep2014,SKYWORKS SOLUTIONS INC,3674,.0245322864502668,-.02513202,-.01551386
001327,2015,9,31oct2014,SKYWORKS SOLUTIONS INC,3674,.0032730826642364,.02119622,.02320146
001327,2015,9,28nov2014,SKYWORKS SOLUTIONS INC,3674,.1607142686843872,.02115908,.02453358
001327,2015,9,31dec2014,SKYWORKS SOLUTIONS INC,3674,.0776641145348549,-.00362207,-.004188512
